position,player,team,age,prob,last_finish,depth_rank,gates_scored_on,gates_cleared,gates_total,leaper_markers,leaper_total,tier,base_rate,missing
TE,Johnny Mundt,JAX,31.8,0.01,76,3.0,2024,0,4,0.0,5,E - profile does not support it,0.1297,"WOPR (weighted opportunity); Red-zone target share; Yards per route (est., shrunk); Snap share"
TE,Taysom Hill,NO,36.0,0.01,58,,2024,0,4,0.0,5,E - profile does not support it,0.1297,"WOPR (weighted opportunity); Red-zone target share; Yards per route (est., shrunk); Snap share"
TE,Grant Calcaterra,PHI,27.7,0.01,74,4.0,2024,0,4,1.0,5,E - profile does not support it,0.1297,"WOPR (weighted opportunity); Red-zone target share; Yards per route (est., shrunk); Snap share"
TE,Cade Stover,HOU,26.2,0.01,77,3.0,2024,0,4,0.0,5,E - profile does not support it,0.1297,"WOPR (weighted opportunity); Red-zone target share; Yards per route (est., shrunk); Snap share"
TE,Tanner Hudson,CIN,31.8,0.009,55,3.0,2025,1,4,0.0,5,E - profile does not support it,0.1297,WOPR (weighted opportunity); Red-zone target share; Snap share
TE,Josh Whyle,GB,27.0,0.009,83,3.0,2024,0,4,0.0,5,E - profile does not support it,0.1297,"WOPR (weighted opportunity); Red-zone target share; Yards per route (est., shrunk); Snap share"
TE,Mo Alie-Cox,IND,33.0,0.008,66,2.0,2025,0,4,0.0,5,E - profile does not support it,0.1297,"WOPR (weighted opportunity); Red-zone target share; Yards per route (est., shrunk); Snap share"
TE,Tyler Conklin,LAC,31.1,0.008,80,3.0,2024,1,4,1.0,5,E - profile does not support it,0.1297,"WOPR (weighted opportunity); Red-zone target share; Yards per route (est., shrunk)"
TE,Kylen Granson,PHI,28.4,0.008,91,3.0,2024,0,4,0.0,5,E - profile does not support it,0.1297,"WOPR (weighted opportunity); Red-zone target share; Yards per route (est., shrunk); Snap share"
TE,Drew Sample,CIN,30.4,0.007,64,2.0,2025,0,4,0.0,5,E - profile does not support it,0.1297,"WOPR (weighted opportunity); Red-zone target share; Yards per route (est., shrunk); Snap share"
TE,Foster Moreau,NO,29.3,0.004,86,2.0,2024,2,4,2.0,5,E - profile does not support it,0.1297,"WOPR (weighted opportunity); Yards per route (est., shrunk)"
WR,Ja'Marr Chase,CIN,26.5,0.873,4,1.0,2025,5,5,,5,A - target,0.0674,-
WR,Puka Nacua,LA,25.3,0.866,1,1.0,2025,3,5,,5,A - target,0.0674,Red-zone target share; Snap share
WR,Jaxon Smith-Njigba,SEA,24.5,0.83,2,1.0,2025,4,5,,5,A - target,0.0674,Snap share
WR,Amon-Ra St. Brown,DET,26.9,0.651,3,1.0,2025,5,5,,5,A - target,0.0674,-
WR,Malik Nabers,NYG,23.1,0.536,101,1.0,2024,4,5,5.0,5,A - target,0.0674,Team scoring rank
WR,Drake London,ATL,25.1,0.375,19,1.0,2025,4,5,5.0,5,A - target,0.0674,Team scoring rank
WR,Brian Thomas Jr.,JAX,23.9,0.331,42,1.0,2025,1,5,1.0,5,A - target,0.0674,"Target share; Yards per route (est., shrunk); Red-zone target share; Snap share"
WR,Garrett Wilson,NYJ,26.1,0.322,62,1.0,2024,3,5,4.0,5,A - target,0.0674,"Yards per route (est., shrunk); Team scoring rank"
WR,CeeDee Lamb,DAL,27.4,0.32,22,1.0,2025,3,5,4.0,5,A - target,0.0674,Red-zone target share; Snap share
WR,Zay Flowers,BAL,26.0,0.267,7,1.0,2025,5,5,,5,A - target,0.0674,-
WR,Justin Jefferson,MIN,27.2,0.243,21,1.0,2025,3,5,4.0,5,A - target,0.0674,"Yards per route (est., shrunk); Team scoring rank"
WR,Wan'Dale Robinson,NYG,25.7,0.211,14,2.0,2025,4,5,3.0,5,A - target,0.0674,"Yards per route (est., shrunk)"
WR,Ladd McConkey,LAC,24.8,0.16,30,1.0,2025,1,5,0.0,5,B - strong,0.0674,"Target share; Yards per route (est., shrunk); Red-zone target share; Snap share"
WR,Nico Collins,HOU,27.5,0.157,8,1.0,2025,3,5,,5,B - strong,0.0674,Target share; Snap share
WR,George Pickens,DAL,25.5,0.151,5,2.0,2025,4,5,,5,B - strong,0.0674,Target share
WR,Jameson Williams,DET,25.4,0.14,12,2.0,2025,2,5,,5,B - strong,0.0674,"Target share; Yards per route (est., shrunk); Red-zone target share"
WR,A.J. Brown,PHI,29.2,0.111,11,1.0,2025,5,5,,5,D - fringe,0.0674,-
WR,Khalil Shakir,BUF,26.6,0.102,36,2.0,2025,1,5,0.0,5,D - fringe,0.0674,"Target share; Yards per route (est., shrunk); Red-zone target share; Snap share"
WR,Tee Higgins,CIN,27.6,0.094,16,2.0,2025,2,5,1.0,5,D - fringe,0.0674,"Target share; Yards per route (est., shrunk); Red-zone target share"
WR,Tetairoa McMillan,CAR,23.4,0.081,15,1.0,2025,3,5,3.0,5,E - profile does not support it,0.0674,"Yards per route (est., shrunk); Team scoring rank"
WR,Josh Downs,IND,25.1,0.08,43,2.0,2025,1,5,0.0,5,E - profile does not support it,0.0674,"Target share; Yards per route (est., shrunk); Red-zone target share; Snap share"
WR,Emeka Egbuka,TB,23.9,0.074,23,1.0,2025,1,5,1.0,5,E - profile does not support it,0.0674,"Target share; Yards per route (est., shrunk); Red-zone target share; Snap share"
WR,Jayden Reed,GB,26.3,0.07,114,2.0,2024,2,5,1.0,5,E - profile does not support it,0.0674,Target share; Red-zone target share; Snap share
WR,Quentin Johnston,LAC,25.0,0.066,35,2.0,2025,1,5,0.0,5,E - profile does not support it,0.0674,"Target share; Yards per route (est., shrunk); Red-zone target share; Snap share"
WR,DeVonta Smith,PHI,27.8,0.061,20,1.0,2025,2,5,2.0,5,E - profile does not support it,0.0674,"Target share; Yards per route (est., shrunk); Red-zone target share"
WR,Davante Adams,LA,33.7,0.051,9,2.0,2025,3,5,,5,E - profile does not support it,0.0674,Target share; Snap share
WR,Xavier Worthy,KC,23.3,0.051,59,2.0,2025,1,5,0.0,5,E - profile does not support it,0.0674,"Target share; Yards per route (est., shrunk); Red-zone target share; Snap share"
WR,Rome Odunze,CHI,24.2,0.051,41,1.0,2025,2,5,3.0,5,E - profile does not support it,0.0674,"Target share; Yards per route (est., shrunk); Red-zone target share"
WR,Marvin Harrison Jr.,ARI,24.1,0.05,50,1.0,2025,0,5,0.0,5,E - profile does not support it,0.0674,"Target share; Yards per route (est., shrunk); Red-zone target share; Snap share; Team scoring rank"
WR,Luther Burden III,CHI,22.7,0.047,49,2.0,2025,2,5,1.0,5,E - profile does not support it,0.0674,Target share; Red-zone target share; Snap share
WR,Jordan Addison,MIN,24.6,0.043,45,2.0,2025,1,5,2.0,5,E - profile does not support it,0.0674,"Target share; Yards per route (est., shrunk); Red-zone target share; Team scoring rank"
WR,Parker Washington,JAX,24.4,0.042,27,2.0,2025,2,5,1.0,5,E - profile does not support it,0.0674,Target share; Red-zone target share; Snap share
WR,Jakobi Meyers,JAX,29.8,0.041,32,3.0,2025,2,5,1.0,5,E - profile does not support it,0.0674,"Target share; Yards per route (est., shrunk); Red-zone target share"
WR,Courtland Sutton,DEN,30.9,0.038,13,1.0,2025,3,5,2.0,5,E - profile does not support it,0.0674,"Target share; Yards per route (est., shrunk)"
WR,Chris Olave,NO,26.2,0.036,6,1.0,2025,4,5,,5,E - profile does not support it,0.0674,Team scoring rank
WR,Jauan Jennings,SF,29.1,0.035,33,3.0,2025,3,5,0.0,5,E - profile does not support it,0.0674,"Target share; Yards per route (est., shrunk)"
WR,Alec Pierce,IND,26.3,0.035,28,1.0,2025,3,5,2.0,5,E - profile does not support it,0.0674,Target share; Red-zone target share
WR,Marvin Mims Jr.,DEN,24.5,0.035,66,4.0,2025,1,5,0.0,5,E - profile does not support it,0.0674,"Target share; Yards per route (est., shrunk); Red-zone target share; Snap share"
WR,Rashee Rice,KC,26.4,0.035,40,1.0,2025,3,5,2.0,5,E - profile does not support it,0.0674,"Yards per route (est., shrunk); Snap share"
WR,DJ Moore,CHI,29.4,0.034,34,1.0,2025,2,5,1.0,5,E - profile does not support it,0.0674,"Target share; Yards per route (est., shrunk); Red-zone target share"
WR,Tank Dell,HOU,26.8,0.032,51,4.0,2024,1,5,0.0,5,E - profile does not support it,0.0674,"Target share; Yards per route (est., shrunk); Red-zone target share; Snap share"
WR,DK Metcalf,PIT,28.7,0.03,26,1.0,2025,2,5,2.0,5,E - profile does not support it,0.0674,"Target share; Yards per route (est., shrunk); Red-zone target share"
WR,Terry McLaurin,WAS,31.0,0.028,56,1.0,2025,1,5,2.0,5,E - profile does not support it,0.0674,Target share; Red-zone target share; Snap share; Team scoring rank
WR,Michael Pittman,IND,28.9,0.028,18,2.0,2025,3,5,1.0,5,E - profile does not support it,0.0674,"Target share; Yards per route (est., shrunk)"
WR,Troy Franklin,DEN,23.6,0.027,31,3.0,2025,2,5,0.0,5,E - profile does not support it,0.0674,"Target share; Yards per route (est., shrunk); Snap share"
WR,Jayden Higgins,HOU,23.7,0.026,47,14.0,2025,1,5,0.0,5,E - profile does not support it,0.0674,"Target share; Yards per route (est., shrunk); Red-zone target share; Snap share"
WR,Tyreek Hill,MIA,32.5,0.024,104,,2024,2,5,1.0,5,E - profile does not support it,0.0674,"Target share; Yards per route (est., shrunk); Team scoring rank"
WR,Jerry Jeudy,CLE,27.4,0.024,52,1.0,2025,1,5,2.0,5,E - profile does not support it,0.0674,"Target share; Yards per route (est., shrunk); Red-zone target share; Team scoring rank"
WR,Michael Wilson,ARI,26.5,0.024,10,2.0,2025,1,5,,5,E - profile does not support it,0.0674,"Target share; Yards per route (est., shrunk); Red-zone target share; Team scoring rank"
WR,Jaylen Waddle,MIA,27.8,0.022,24,2.0,2025,1,5,2.0,5,E - profile does not support it,0.0674,Target share; Red-zone target share; Snap share; Team scoring rank
WR,Ja'Lynn Polk,NE,24.4,0.021,128,5.0,2024,0,5,0.0,5,E - profile does not support it,0.0674,"Target share; Yards per route (est., shrunk); Red-zone target share; Snap share; Team scoring rank"
WR,DeMario Douglas,NE,25.7,0.02,65,3.0,2025,2,5,1.0,5,E - profile does not support it,0.0674,Target share; Red-zone target share; Snap share
WR,Elic Ayomanor,TEN,23.2,0.02,54,5.0,2025,1,5,0.0,5,E - profile does not support it,0.0674,"Target share; Yards per route (est., shrunk); Red-zone target share; Team scoring rank"
WR,Keon Coleman,BUF,23.3,0.019,60,3.0,2025,1,5,0.0,5,E - profile does not support it,0.0674,"Target share; Yards per route (est., shrunk); Red-zone target share; Snap share"
WR,Mike Evans,TB,33.0,0.017,75,1.0,2025,1,5,1.0,5,E - profile does not support it,0.0674,"Target share; Yards per route (est., shrunk); Red-zone target share; Snap share"
WR,Matthew Golden,GB,23.1,0.017,88,3.0,2025,1,5,0.0,5,E - profile does not support it,0.0674,"Target share; Yards per route (est., shrunk); Red-zone target share; Snap share"
WR,Deebo Samuel Sr.,WAS,30.6,0.016,25,2.0,2025,1,5,1.0,5,E - profile does not support it,0.0674,"Target share; Yards per route (est., shrunk); Snap share; Team scoring rank"
WR,Kayshon Boutte,NE,24.3,0.016,51,4.0,2025,1,5,0.0,5,E - profile does not support it,0.0674,"Target share; Yards per route (est., shrunk); Red-zone target share; Snap share"
WR,Adonai Mitchell,IND,23.9,0.016,73,2.0,2025,1,5,0.0,5,E - profile does not support it,0.0674,"Target share; Yards per route (est., shrunk); Red-zone target share; Snap share"
WR,Christian Watson,GB,27.3,0.015,46,1.0,2025,2,5,2.0,5,E - profile does not support it,0.0674,Target share; Red-zone target share; Snap share
WR,Jalen McMillan,TB,24.7,0.013,137,3.0,2024,1,5,0.0,5,E - profile does not support it,0.0674,"Target share; Yards per route (est., shrunk); Red-zone target share; Snap share"
WR,Pat Bryant,DEN,23.7,0.013,85,5.0,2025,1,5,0.0,5,E - profile does not support it,0.0674,"Target share; Yards per route (est., shrunk); Red-zone target share; Snap share"
WR,Romeo Doubs,GB,26.4,0.012,37,2.0,2025,2,5,0.0,5,E - profile does not support it,0.0674,"Target share; Yards per route (est., shrunk); Snap share"
WR,Dontayvion Wicks,GB,25.2,0.012,83,2.0,2025,1,5,0.0,5,E - profile does not support it,0.0674,"Target share; Yards per route (est., shrunk); Red-zone target share; Snap share"
WR,Tez Johnson,TB,24.3,0.012,67,5.0,2025,1,5,0.0,5,E - profile does not support it,0.0674,"Target share; Yards per route (est., shrunk); Red-zone target share; Snap share"
WR,Stefon Diggs,NE,32.8,0.011,17,2.0,2025,2,5,1.0,5,E - profile does not support it,0.0674,Target share; Red-zone target share; Snap share
WR,Jaylin Noel,HOU,24.0,0.011,91,3.0,2025,1,5,0.0,5,E - profile does not support it,0.0674,"Target share; Yards per route (est., shrunk); Red-zone target share; Snap share"
WR,Amari Cooper,BUF,32.2,0.009,63,,2024,1,5,1.0,5,E - profile does not support it,0.0674,"Target share; Yards per route (est., shrunk); Red-zone target share; Snap share"
WR,Tre Tucker,LV,25.5,0.009,38,1.0,2025,1,5,1.0,5,E - profile does not support it,0.0674,"Target share; Yards per route (est., shrunk); Red-zone target share; Team scoring rank"
WR,Ricky Pearsall,SF,26.0,0.009,72,14.0,2025,2,5,1.0,5,E - profile does not support it,0.0674,"Target share; Yards per route (est., shrunk); Red-zone target share"
WR,Isaiah Bond,CLE,22.5,0.009,103,5.0,2025,0,5,0.0,5,E - profile does not support it,0.0674,"Target share; Yards per route (est., shrunk); Red-zone target share; Snap share; Team scoring rank"
WR,Keenan Allen,LAC,34.3,0.008,29,3.0,2025,2,5,0.0,5,E - profile does not support it,0.0674,"Target share; Yards per route (est., shrunk); Snap share"
WR,Calvin Austin III,PIT,27.4,0.008,74,3.0,2025,1,5,0.0,5,E - profile does not support it,0.0674,"Target share; Yards per route (est., shrunk); Red-zone target share; Snap share"
WR,Chimere Dike,TEN,24.7,0.008,48,4.0,2025,1,5,0.0,5,E - profile does not support it,0.0674,"Target share; Yards per route (est., shrunk); Snap share; Team scoring rank"
WR,Tre Harris,LAC,24.5,0.008,90,3.0,2025,1,5,0.0,5,E - profile does not support it,0.0674,"Target share; Yards per route (est., shrunk); Red-zone target share; Snap share"
WR,Marquise Brown,KC,29.2,0.007,44,4.0,2025,1,5,0.0,5,E - profile does not support it,0.0674,"Target share; Yards per route (est., shrunk); Red-zone target share; Snap share"
WR,Jaylin Lane,WAS,24.3,0.007,109,7.0,2025,0,5,0.0,5,E - profile does not support it,0.0674,"Target share; Yards per route (est., shrunk); Red-zone target share; Snap share; Team scoring rank"
