season,seat,points,place
2016,2,1937.52,1
2016,3,1780.7599999999998,4
2016,4,1827.2799999999997,3
2016,5,1399.3000000000002,10
2016,6,1837.48,2
2016,7,1612.48,7
2016,8,1593.4,8
2016,9,1732.22,5
2016,10,1660.04,6
2016,1,1578.72,9
2016,2,1643.44,6
2016,3,1766.98,3
2016,4,1318.1000000000001,10
2016,5,1580.8600000000001,8
2016,6,1697.4599999999998,5
2016,7,1608.12,7
2016,8,1818.9400000000003,2
2016,9,1859.7800000000002,1
2016,10,1720.92,4
2016,1,1594.68,7
2016,2,1569.04,9
2016,3,1794.12,4
2016,4,1624.74,6
2016,5,1949.42,2
2016,6,1289.7600000000002,10
2016,7,1860.0200000000002,3
2016,8,1978.6800000000003,1
2016,9,1570.6,8
2016,10,1743.2799999999997,5
2016,1,1855.6799999999998,1
2016,2,1848.7199999999998,2
2016,3,1603.7600000000002,7
2016,4,1530.5,10
2016,5,1531.52,9
2016,6,1564.1999999999998,8
2016,7,1751.38,3
2016,8,1751.06,4
2016,9,1739.08,6
2016,10,1746.52,5
2016,1,1757.62,3
2016,2,1311.28,10
2016,3,1634.04,8
2016,4,1924.8999999999999,1
2016,5,1567.6000000000001,9
2016,6,1700.52,4
2016,7,1640.1399999999999,7
2016,8,1914.48,2
2016,9,1698.2800000000002,5
2016,10,1652.7199999999998,6
2016,1,1408.82,10
2016,2,1492.3199999999997,9
2016,3,1872.3799999999997,3
2016,4,1944.92,2
2016,5,1559.4199999999998,7
2016,6,1622.0800000000002,6
2016,7,1734.74,4
2016,8,2037.3999999999999,1
2016,9,1542.96,8
2016,10,1681.9400000000003,5
2016,1,1835.32,3
2016,2,1513.2000000000003,10
2016,3,1659.8999999999999,6
2016,4,1656.04,8
2016,5,1656.36,7
2016,6,1696.22,5
2016,7,1737.58,4
2016,8,1858.58,2
2016,9,1936.68,1
2016,10,1611.3200000000002,9
2016,1,1666.7600000000002,8
2016,2,1677.88,5
2016,3,1670.08,7
2016,4,1705.92,4
2016,5,1752.2799999999997,3
2016,6,1397.92,10
2016,7,1676.1399999999999,6
2016,8,2060.62,1
2016,9,1408.26,9
2016,10,1866.28,2
2016,1,1918.3200000000002,1
2016,2,1607.92,8
2016,3,1691.68,6
2016,4,1434.2800000000002,10
2016,5,1685.56,7
2016,6,1693.38,5
2016,7,1742.76,4
2016,8,1793.92,3
2016,9,1822.94,2
2016,10,1552.08,9
2016,1,1724.7199999999998,4
2016,2,1551.0800000000002,8
2016,3,1796.3200000000002,2
2016,4,1610.98,7
2016,5,1645.6,6
2016,6,1740.28,3
2016,7,1465.8799999999997,10
2016,8,1530.98,9
2016,9,1990.82,1
2016,10,1709.96,5
2016,1,1230.3400000000001,10
2016,2,1717.2200000000003,6
2016,3,1823.2800000000002,3
2016,4,1563.3999999999996,7
2016,5,1797.92,4
2016,6,1832.56,2
2016,7,1795.8799999999997,5
2016,8,2083.48,1
2016,9,1352.56,9
2016,10,1516.3199999999997,8
2016,1,1523.5800000000002,8
2016,2,1597.9599999999998,7
2016,3,1682.82,6
2016,4,1446.3600000000001,10
2016,5,1687.8,4
2016,6,1685.8400000000001,5
2016,7,1481.5,9
2016,8,1843.2600000000002,3
2016,9,1935.1800000000003,1
2016,10,1930.6200000000001,2
2016,1,1773.12,4
2016,2,1917.22,1
2016,3,1605.56,7
2016,4,1596.3400000000001,8
2016,5,1520.98,9
2016,6,1655.28,6
2016,7,1746.7800000000002,5
2016,8,1849.3199999999997,3
2016,9,1484.9,10
2016,10,1879.36,2
2016,1,1210.3200000000002,10
2016,2,1702.8,5
2016,3,1516.2800000000002,9
2016,4,1885.6800000000003,2
2016,5,1696.3,6
2016,6,1749.52,4
2016,7,1904.02,1
2016,8,1771.6,3
2016,9,1634.4199999999998,8
2016,10,1660.1000000000001,7
2016,1,1676.78,6
2016,2,1694.8600000000001,4
2016,3,1677.48,5
2016,4,1540.56,9
2016,5,1589.7000000000003,8
2016,6,1709.3799999999997,3
2016,7,1490.4,10
2016,8,1874.8600000000001,2
2016,9,1986.52,1
2016,10,1632.96,7
2016,1,1748.42,4
2016,2,1857.62,2
2016,3,1643.3600000000001,6
2016,4,1640.98,7
2016,5,1610.2,9
2016,6,1631.02,8
2016,7,1367.1799999999998,10
2016,8,1772.98,3
2016,9,1704.3,5
2016,10,1954.08,1
2016,1,1611.0199999999998,8
