pos,feature,label,solo,marginal,auc_base,auc_full,n
TE,p1_snap_pct,snap rate (last yr),0.8083727447889298,-0.0033280784725872037,0.8805832895428272,0.8683657383079348,563
TE,p1_games,games played (last yr),0.6986118409528814,0.008101243650376566,0.8805832895428272,0.8683657383079348,563
TE,p2_target_share,target share (two yrs ago),0.8054168856191977,0.003284287966368926,0.8805832895428272,0.8683657383079348,563
TE,p2_yprr_shrunk,yards per route (shrunk) (two yrs ago),0.7858863198458573,0.006612366438955908,0.8805832895428272,0.8683657383079348,563
TE,p2_rz_targets_share,red-zone target share (two yrs ago),0.706187598528639,0.0034156594850236477,0.8805832895428272,0.8683657383079348,563
TE,p2_ppg_shrunk,points per game (shrunk) (two yrs ago),0.8009940444911544,0.007313014538448126,0.8805832895428272,0.8683657383079348,563
TE,p2_snap_pct,snap rate (two yrs ago),0.729287090558767,-0.0029777544228413166,0.8805832895428272,0.8683657383079348,563
TE,p2_games,games played (two yrs ago),0.6072867402347171,-0.0007006480994919961,0.8805832895428272,0.8683657383079348,563
TE,age,age (),0.5674373795761078,0.00017516202487299903,0.8805832895428272,0.8683657383079348,563
TE,nt_team_scoring_rank,team scoring rank (),0.5826545804869504,-0.005736556314591024,0.8805832895428272,0.8683657383079348,563
TE,nt_team_qb_epa_rank,team QB EPA rank (),0.6143151164827465,-0.0050359082150989165,0.8805832895428272,0.8683657383079348,563
TE,best_rank_prior,career-best finish so far (),0.772420739183745,0.00021895253109138757,0.8805832895428272,0.8683657383079348,563
TE,yrs_since_top12,years since a top-12 (),0.6658127517954107,-0.00240847784200382,0.8805832895428272,0.8683657383079348,563
TE,chg_team,changed teams (),0.5001313715186547,-0.0018392012611665454,0.8805832895428272,0.8683657383079348,563
TE,chg_coach,changed head coach (),0.5135093711683307,-0.0013575056927658258,0.8805832895428272,0.8683657383079348,563
TE,qb_epa_gain,moved to a better QB room (),0.4114774916798038,-0.0035032404974602027,0.8805832895428272,0.8683657383079348,563
TE,qb_trend,own team QB play improving (),0.5252014363286039,-0.0031529164477140936,0.8805832895428272,0.8683657383079348,563
TE,p1_missed,missed most of last year (last yr),0.5032842879663688,0.0033280784725870927,0.8805832895428272,0.8683657383079348,563
TE,draft_round,draft round (),0.6043746715712033,-0.0014012961989841033,0.8805832895428272,0.8683657383079348,563
