season,seat,points,place
2026,3,1816.7061326117396,4
2026,4,1727.966645809894,5
2026,5,1616.1658456817145,8
2026,6,1652.4889499995384,7
2026,7,1899.308537310072,2
2026,8,2072.0612704542546,1
2026,9,1709.8036050713104,6
2026,10,1580.7167939425353,9
2026,1,1344.4099681777652,10
2026,2,1675.4116236761752,8
2026,3,1860.8130065507476,3
2026,4,1790.635971475897,4
2026,5,1739.2381773179554,5
2026,6,1701.0985922237253,6
2026,7,1870.8324711773125,2
2026,8,1698.5139491332386,7
2026,9,2014.0700647185165,1
2026,10,1558.7572738455326,9
2026,1,1650.5894999114294,6
2026,2,2117.068489591928,1
2026,3,1966.4804057341566,2
2026,4,1749.990197222201,3
2026,5,1595.3386089178302,9
2026,6,1458.9273389894806,10
2026,7,1680.2339849171717,5
2026,8,1602.3754012562313,8
2026,9,1633.0393361294468,7
2026,10,1689.3017575007614,4
2026,1,1655.8390665451689,7
2026,2,1634.7294417341316,8
2026,3,1552.842763663592,9
2026,4,1778.054086476567,4
2026,5,1887.300946527802,1
2026,6,1882.965896568297,2
2026,7,1489.7391318028672,10
2026,8,1704.1790310728936,6
2026,9,1710.8341087773144,5
2026,10,1867.4748684465096,3
2026,1,1828.3199949585046,2
2026,2,1894.448718611754,1
2026,3,1386.230497817603,10
2026,4,1624.6867604075449,7
2026,5,1626.7903031866288,6
2026,6,1668.7473744525971,5
2026,7,1751.5246669250305,3
2026,8,1563.3262325088342,8
2026,9,1674.9505221302047,4
2026,10,1462.8812886101973,9
2026,1,1615.918579409276,6
2026,2,1596.7724201067417,8
2026,3,1987.6279766367543,1
2026,4,1577.1567118326398,9
2026,5,1754.0392320085284,5
2026,6,1771.9996901427335,4
2026,7,1532.6807375191538,10
2026,8,1986.5325312302539,2
2026,9,1597.8208572373549,7
2026,10,1974.933371386518,3
2026,1,1573.971769854184,10
2026,2,1735.7724788598111,7
2026,3,1952.873431847369,1
2026,4,1837.8327852107504,4
2026,5,1858.6565201538492,3
2026,6,1883.178589894519,2
2026,7,1653.1972636268895,9
2026,8,1692.4869937114856,8
2026,9,1811.7524360838063,5
2026,10,1803.8540023658436,6
2026,1,1618.1993975762825,8
2026,2,1816.2893369504254,2
2026,3,1789.9926266642165,3
2026,4,1715.3096454870413,5
2026,5,1696.7889678016656,6
2026,6,1617.878295431276,9
2026,7,1890.7650157967141,1
2026,8,1778.4941324834622,4
2026,9,1483.9306055554875,10
2026,10,1669.566156709586,7
2026,1,1705.5042530044461,3
2026,2,1720.7647517243445,2
2026,3,1599.108240823512,7
2026,4,1962.4297019977685,1
2026,5,1604.6795173606888,6
2026,6,1582.807510653192,9
2026,7,1582.8113675644565,8
2026,8,1604.7511816768824,5
2026,9,1620.2300378339876,4
2026,10,1398.2886381956316,10
2026,1,1571.5838225379725,10
2026,2,1868.1296837496986,5
2026,3,1991.1250977424893,1
2026,4,1934.163065465773,2
2026,5,1924.0927467346953,3
2026,6,1739.3379583364858,7
2026,7,1907.8774687722046,4
2026,8,1753.530628738236,6
2026,9,1597.4501037538714,9
2026,10,1735.8682533674503,8
2026,1,1532.3038465824784,9
2026,2,1806.2753751077385,4
2026,3,1748.300560301265,6
2026,4,1954.7042448101893,1
2026,5,1727.5603344386204,7
2026,6,1781.2867663336976,5
2026,7,1702.780191192885,8
2026,8,1870.4804589105138,3
2026,9,1479.7949268676941,10
2026,10,1880.323245501475,2
2026,1,1736.32387850349,5
2026,2,1781.9420075713385,4
2026,3,1504.4225854877236,10
2026,4,1813.0883003530857,1
2026,5,1601.9148134394582,9
2026,6,1635.2208080931255,8
2026,7,1787.1139802870705,3
2026,8,1691.1922805436375,6
2026,9,1794.7313873418937,2
2026,10,1657.9094483774275,7
2026,1,2007.615937852627,2
2026,2,1596.5573090160856,7
2026,3,2135.364356991274,1
2026,4,1651.3789603609916,6
2026,5,1344.4719716538193,9
2026,6,1873.818953652734,3
2026,7,1825.1664578075347,4
2026,8,1591.236839276287,8
2026,9,1285.6428595656307,10
2026,10,1661.5247457276732,5
2026,1,1622.6572021372904,8
2026,2,1819.2443638630702,3
2026,3,1671.1542103642275,5
2026,4,1645.3530097996495,7
2026,5,1840.9158713208897,1
2026,6,1517.8471436065647,10
2026,7,1722.2278382174288,4
2026,8,1646.5538582253923,6
