position,mode,metric,label,direction,threshold,n_flagged,hits,per_season_flagged,precision,recall,base_rate,lift,raw_quantile,auc,family,circular
RB,profile_top5,team_ppg,Team points per game,>=,21.0,510,47,46.36363636363637,0.09215686274509804,0.8545454545454545,0.0686641697877653,1.3421390374331552,21.075,0.654045820131611,Offense quality,False
RB,profile_top5,exp,Seasons of experience,>=,1.0,670,50,60.90909090909091,0.07462686567164178,0.9090909090909091,0.0686641697877653,1.0868385345997285,1.0,0.5178893492566414,Age / profile,False
WR,profile_top5,targets_pg,Targets per game,>=,9.0,118,47,10.727272727272727,0.3983050847457627,0.8545454545454545,0.044642857142857144,8.922033898305084,9.005882352941176,0.9708658376457867,Target volume,False
WR,profile_top5,yprr_shrunk,"Yards per route (est., shrunk)",>=,2.14,163,47,14.818181818181818,0.2883435582822086,0.8545454545454545,0.044642857142857144,6.458895705521472,2.14393611385714,0.9272727272727272,Route efficiency,False
WR,profile_top5,rz_targets_share,Red-zone target share,>=,0.21,222,46,20.181818181818183,0.2072072072072072,0.8363636363636363,0.044642857142857144,4.641441441441441,0.20614362806143627,0.9197960917587086,Scoring role,False
WR,profile_top5,routes_pg,Routes per game (est.),>=,31.0,367,46,33.36363636363637,0.12534059945504086,0.8363636363636363,0.044642857142857144,2.8076294277929152,31.064941176470587,0.85295435235962,Field time,False
WR,profile_top5,team_scoring_rank,Team scoring rank,<=,16.0,609,47,55.36363636363637,0.07717569786535304,0.8545454545454545,0.044642857142857144,1.728735632183908,15.799999999999997,0.27802579748204215,Offense quality,False
WR,profile_top5,team_qb_epa_rank,QB rank in EPA/dropback,<=,19.0,682,47,62.0,0.0689149560117302,0.8545454545454545,0.044642857142857144,1.5436950146627564,19.0,0.28603537499034526,QB quality,False
WR,profile_top5,exp,Seasons of experience,>=,2.0,872,50,79.27272727272727,0.05733944954128441,0.9090909090909091,0.044642857142857144,1.2844036697247707,2.0,0.573963080250251,Age / profile,False
TE,profile_top5,targets_pg,Targets per game,>=,6.5,78,44,7.090909090909091,0.5641025641025641,0.8,0.0878594249201278,6.42051282051282,6.3125,0.9626014965769781,Target volume,False
TE,profile_top5,yprr_shrunk,"Yards per route (est., shrunk)",>=,1.41,151,46,13.727272727272727,0.304635761589404,0.8363636363636363,0.0878594249201278,3.467308850090307,1.4080967491944865,0.9158414265244388,Route efficiency,False
TE,profile_top5,rz_targets_share,Red-zone target share,>=,0.17,154,46,14.0,0.2987012987012987,0.8363636363636363,0.0878594249201278,3.3997638724911448,0.16941295546558702,0.9258398344212705,Scoring role,False
TE,profile_top5,snap_pct,Snap share,>=,0.73,176,47,16.0,0.26704545454545453,0.8545454545454545,0.0878594249201278,3.0394628099173553,0.7315625,0.8674414902085655,Field time,False
TE,profile_top5,team_qb_epa_rank,QB rank in EPA/dropback,<=,22.0,403,48,36.63636363636363,0.11910669975186104,0.8727272727272727,0.0878594249201278,1.355650800812091,22.0,0.32849864671230694,QB quality,False
TE,profile_top5,team_ppg,Team points per game,>=,20.0,462,49,42.0,0.10606060606060606,0.8909090909090909,0.0878594249201278,1.2071625344352617,20.452573529411765,0.6153956376373189,Offense quality,False
TE,profile_top5,exp,Seasons of experience,>=,2.0,482,47,43.81818181818182,0.0975103734439834,0.8545454545454545,0.0878594249201278,1.109845341380611,2.0,0.6118293265403598,Age / profile,False
