season,seat,points,place
2016,10,1777.54,10
2016,1,1772.88,10
2016,2,1878.5399999999997,3
2016,3,1780.02,9
2016,4,1904.6,1
2016,5,1854.6,4
2016,6,1811.8600000000001,8
2016,7,1852.36,5
2016,8,1840.3200000000002,6
2016,9,1821.02,7
2016,10,1900.7400000000002,2
2016,1,1839.28,5
2016,2,1860.7800000000002,3
2016,3,1972.8,1
2016,4,1789.3200000000002,9
2016,5,1793.1599999999999,7
2016,6,1790.2,8
2016,7,1922.3200000000002,2
2016,8,1846.36,4
2016,9,1818.5800000000002,6
2016,10,1719.22,10
2016,1,1861.6799999999998,3
2016,2,1840.08,5
2016,3,1781.7399999999998,10
2016,4,2012.12,1
2016,5,1796.3200000000002,7
2016,6,1901.6000000000001,2
2016,7,1818.6200000000001,6
2016,8,1791.0,8
2016,9,1786.2199999999998,9
2016,10,1854.2600000000002,4
2016,1,1955.2000000000003,1
2016,2,1858.7199999999998,5
2016,3,1816.28,7
2016,4,1781.46,9
2016,5,1741.8200000000002,10
2016,6,1848.02,6
2016,7,1871.78,3
2016,8,1863.54,4
2016,9,1903.1599999999999,2
2016,10,1804.66,8
2016,1,1765.8200000000002,10
2016,2,1819.0600000000002,6
2016,3,1879.3999999999999,2
2016,4,1834.96,4
2016,5,1785.5600000000002,7
2016,6,1849.28,3
2016,7,1781.36,9
2016,8,1929.6399999999999,1
2016,9,1783.54,8
2016,10,1827.72,5
2016,1,1985.46,1
2016,2,1770.2200000000003,9
2016,3,1879.9399999999998,3
2016,4,1858.68,4
2016,5,1891.3000000000002,2
2016,6,1800.1999999999998,5
2016,7,1799.3600000000001,6
2016,8,1755.44,10
2016,9,1778.46,7
2016,10,1778.2799999999997,8
2016,1,1836.3,8
2016,2,1816.1799999999998,9
2016,3,1895.78,2
2016,4,1905.54,1
2016,5,1838.78,7
2016,6,1887.68,3
2016,7,1764.22,10
2016,8,1851.02,5
2016,9,1845.12,6
2016,10,1855.2999999999997,4
2016,1,1897.92,3
2016,2,1804.0800000000002,8
2016,3,1832.3400000000001,4
2016,4,1831.1799999999998,5
2016,5,1825.7600000000002,6
2016,6,1792.9199999999998,9
2016,7,1805.4399999999998,7
2016,8,1910.5,2
2016,9,1994.4,1
2016,10,1725.2199999999998,10
2016,1,1872.0199999999998,2
2016,2,1972.8600000000001,1
2016,3,1849.7999999999997,5
2016,4,1703.7999999999997,10
2016,5,1803.1799999999998,7
2016,6,1841.52,6
2016,7,1862.52,3
2016,8,1801.12,8
2016,9,1794.06,9
2016,10,1859.6799999999998,4
2016,1,1847.08,5
2016,2,1829.84,6
2016,3,1856.94,4
2016,4,1799.8,8
2016,5,1864.1000000000001,3
2016,6,1878.34,2
2016,7,1951.7599999999998,1
2016,8,1746.02,10
2016,9,1785.8799999999999,9
2016,10,1823.42,7
2016,1,1745.2400000000002,9
2016,2,2039.6599999999999,1
2016,3,1805.8400000000001,7
2016,4,1889.48,2
2016,5,1878.3199999999997,3
2016,6,1863.0199999999998,4
2016,7,1708.8600000000001,10
2016,8,1760.68,8
2016,9,1809.08,5
2016,10,1806.9600000000003,6
2016,1,1903.9199999999998,2
2016,2,1882.58,3
2016,3,1871.06,4
2016,4,2011.0800000000002,1
2016,5,1769.26,8
2016,6,1702.6599999999999,10
2016,7,1757.0,9
2016,8,1809.52,7
2016,9,1829.8199999999997,6
2016,10,1862.6799999999998,5
2016,1,1754.3000000000002,9
2016,2,1998.2200000000003,1
2016,3,1848.2600000000002,3
2016,4,1838.1400000000003,5
2016,5,1776.92,8
2016,6,1838.5800000000002,4
2016,7,1823.98,6
2016,8,1896.78,2
2016,9,1779.6200000000001,7
2016,10,1735.04,10
2016,1,1854.04,6
2016,2,1791.2399999999998,8
2016,3,1905.88,1
2016,4,1753.96,10
2016,5,1874.0,3
2016,6,1866.6200000000001,5
2016,7,1775.36,9
2016,8,1866.72,4
2016,9,1877.02,2
2016,10,1808.06,7
2016,1,1854.7400000000002,3
2016,2,1833.9799999999998,6
2016,3,1892.62,2
2016,4,1764.04,9
2016,5,1794.3999999999996,8
2016,6,1850.3199999999997,4
2016,7,2025.1799999999998,1
2016,8,1801.2800000000002,7
2016,9,1841.6599999999999,5
2016,10,1724.88,10
2016,1,1976.86,1
2016,2,1863.7800000000002,3
2016,3,1803.9,8
2016,4,1805.12,6
2016,5,1741.7199999999998,10
2016,6,1804.58,7
2016,7,1846.6,4
2016,8,1753.48,9
2016,9,1883.5,2
2016,10,1827.92,5
2016,1,1928.88,2
2016,2,1852.56,4
2016,3,1825.84,5
2016,4,1933.04,1
2016,5,1791.8199999999997,7
2016,6,1874.3200000000002,3
2016,7,1783.14,8
2016,8,1776.04,9
2016,9,1773.08,10
2016,10,1825.6000000000001,6
2016,1,1884.2199999999998,1
2016,2,1845.58,6
2016,3,1835.7800000000002,7
2016,4,1863.1800000000003,4
2016,5,1801.3200000000002,8
2016,6,1853.0,5
2016,7,1864.1,3
2016,8,1881.7199999999998,2
2016,9,1768.04,10
